node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,464.709,0.644985,0.505206,0
1,464.709,0.644985,0.505206,0
2,464.709,0.644985,0.505206,0
3,464.709,0.644985,0.505206,0
4,464.709,0.644985,0.505206,0
5,464.709,0.644985,0.505206,0
6,464.709,0.644985,0.505206,0
7,464.709,0.644985,0.505206,0
8,464.709,0.644985,0.505206,0
9,464.709,0.644985,0.505206,0
10,464.709,0.644985,0.505206,0
11,464.709,0.644985,0.505206,0
12,464.709,0.644985,0.505206,0
13,464.709,0.644985,0.505206,0
14,464.709,0.644985,0.505206,0
15,464.709,0.644985,0.505206,0
16,464.709,0.644985,0.505206,0
17,464.709,0.644985,0.505206,0
18,464.709,0.644985,0.505206,0
19,464.709,0.644985,0.505206,0
20,464.709,0.644985,0.505206,0
21,464.709,0.644985,0.505206,0
22,464.709,0.644985,0.505206,0
23,464.709,0.644985,0.505206,0
24,464.709,0.644985,0.505206,0
25,464.709,0.644985,0.505206,0
26,464.709,0.644985,0.505206,0
27,464.709,0.644985,0.505206,0
28,464.709,0.644985,0.505206,0
29,464.709,0.644985,0.505206,0
30,464.709,0.644985,0.505206,0
31,464.709,0.644985,0.505206,0
32,464.709,0.644985,0.505206,0
33,464.709,0.644985,0.505206,0
34,464.709,0.644985,0.505206,0
