timestamp,source_ip,port,traffic_type,packet_size,sim_time
2025-06-03 12:26:17,192.168.1.21,9,Normal,512,3.01084
2025-06-03 12:26:17,192.168.1.3,9,Normal,512,3.03029
2025-06-03 12:26:17,192.168.1.6,9,Normal,512,3.038
2025-06-03 12:26:17,192.168.1.5,9,Normal,512,3.04416
2025-06-03 12:26:18,192.168.1.12,9,Normal,512,3.0703
2025-06-03 12:26:18,192.168.1.9,9,Normal,512,3.07692
2025-06-03 12:26:18,192.168.1.13,9,Normal,512,3.08418
2025-06-03 12:26:18,192.168.1.26,9,Normal,512,3.09497
2025-06-03 12:26:18,192.168.1.8,9,Normal,512,3.10312
2025-06-03 12:26:18,192.168.1.19,9,Normal,512,3.11212
2025-06-03 12:26:18,192.168.1.15,9,Normal,512,3.11867
2025-06-03 12:26:18,192.168.1.25,9,Normal,512,3.13156
2025-06-03 12:26:18,192.168.1.28,9,Normal,512,3.3354
2025-06-03 12:26:19,192.168.1.27,9,Normal,512,4.31724
2025-06-03 12:26:19,192.168.1.29,9,Normal,512,4.31798
2025-06-03 12:26:19,192.168.1.26,9,Normal,512,5.00103
2025-06-03 12:26:19,192.168.1.21,9,Normal,512,5.0029
2025-06-03 12:26:19,192.168.1.12,9,Normal,512,5.00371
2025-06-03 12:26:19,192.168.1.25,9,Normal,512,5.00445
2025-06-03 12:26:19,192.168.1.5,9,Normal,512,5.00474
2025-06-03 12:26:19,192.168.1.8,9,Normal,512,5.00499
2025-06-03 12:26:19,192.168.1.19,9,Normal,512,5.00538
2025-06-03 12:26:19,192.168.1.9,9,Normal,512,5.00566
2025-06-03 12:26:19,192.168.1.3,9,Normal,512,5.0059
2025-06-03 12:26:19,192.168.1.15,9,Normal,512,5.00721
2025-06-03 12:26:19,192.168.1.13,9,Normal,512,5.0075
2025-06-03 12:26:19,192.168.1.24,9,Normal,512,5.0081
2025-06-03 12:26:19,192.168.1.23,9,Normal,512,5.01118
2025-06-03 12:26:19,192.168.1.6,9,Normal,512,5.01188
2025-06-03 12:26:19,192.168.1.27,9,Normal,512,5.01477
2025-06-03 12:26:19,192.168.1.30,9,Normal,512,5.01552
2025-06-03 12:26:19,192.168.1.29,9,Normal,512,5.01624
2025-06-03 12:26:19,192.168.1.22,9,Normal,512,5.01719
2025-06-03 12:26:19,192.168.1.28,9,Normal,512,5.01785
2025-06-03 12:26:19,192.168.1.6,9,Normal,512,7.0004
2025-06-03 12:26:19,192.168.1.5,9,Normal,512,7.00103
2025-06-03 12:26:19,192.168.1.13,9,Normal,512,7.00133
2025-06-03 12:26:19,192.168.1.15,9,Normal,512,7.00166
2025-06-03 12:26:19,192.168.1.12,9,Normal,512,7.00205
2025-06-03 12:26:19,192.168.1.19,9,Normal,512,7.00239
2025-06-03 12:26:19,192.168.1.26,9,Normal,512,7.00288
2025-06-03 12:26:19,192.168.1.8,9,Normal,512,7.00311
2025-06-03 12:26:19,192.168.1.9,9,Normal,512,7.00358
2025-06-03 12:26:19,192.168.1.3,9,Normal,512,7.00422
2025-06-03 12:26:19,192.168.1.21,9,Normal,512,7.00616
2025-06-03 12:26:19,192.168.1.23,9,Normal,512,7.00678
2025-06-03 12:26:19,192.168.1.22,9,Normal,512,7.0077
2025-06-03 12:26:19,192.168.1.25,9,Normal,512,7.00922
2025-06-03 12:26:19,192.168.1.27,9,Normal,512,7.01169
2025-06-03 12:26:19,192.168.1.29,9,Normal,512,7.01246
2025-06-03 12:26:20,192.168.1.24,9,Normal,512,8.00322
2025-06-03 12:26:20,192.168.1.26,9,Normal,512,9.00059
2025-06-03 12:26:20,192.168.1.6,9,Normal,512,9.00133
2025-06-03 12:26:20,192.168.1.5,9,Normal,512,9.00164
2025-06-03 12:26:20,192.168.1.3,9,Normal,512,9.00187
2025-06-03 12:26:20,192.168.1.21,9,Normal,512,9.00269
2025-06-03 12:26:20,192.168.1.8,9,Normal,512,9.003
2025-06-03 12:26:20,192.168.1.13,9,Normal,512,9.00327
2025-06-03 12:26:20,192.168.1.19,9,Normal,512,9.00387
2025-06-03 12:26:20,192.168.1.12,9,Normal,512,9.00412
2025-06-03 12:26:20,192.168.1.15,9,Normal,512,9.00452
2025-06-03 12:26:20,192.168.1.9,9,Normal,512,9.00483
2025-06-03 12:26:20,192.168.1.23,9,Normal,512,9.00512
2025-06-03 12:26:20,192.168.1.22,9,Normal,512,9.00697
2025-06-03 12:26:20,192.168.1.24,9,Normal,512,9.00853
2025-06-03 12:26:20,192.168.1.25,9,Normal,512,9.01061
2025-06-03 12:26:20,192.168.1.27,9,Normal,512,9.01343
2025-06-03 12:26:20,192.168.1.29,9,Normal,512,9.01414
2025-06-03 12:26:21,192.168.1.21,9,Normal,512,11.0004
2025-06-03 12:26:21,192.168.1.5,9,Normal,512,11.0012
2025-06-03 12:26:21,192.168.1.13,9,Normal,512,11.0015
2025-06-03 12:26:21,192.168.1.15,9,Normal,512,11.0018
2025-06-03 12:26:21,192.168.1.3,9,Normal,512,11.0021
2025-06-03 12:26:21,192.168.1.6,9,Normal,512,11.0026
2025-06-03 12:26:21,192.168.1.24,9,Normal,512,11.0031
2025-06-03 12:26:21,192.168.1.8,9,Normal,512,11.0036
2025-06-03 12:26:21,192.168.1.12,9,Normal,512,11.0039
2025-06-03 12:26:21,192.168.1.19,9,Normal,512,11.007
2025-06-03 12:26:22,192.168.1.26,9,Normal,512,11.0184
2025-06-03 12:26:22,192.168.1.27,9,Normal,512,11.0221
2025-06-03 12:26:22,192.168.1.25,9,Normal,512,11.0244
2025-06-03 12:26:22,192.168.1.9,9,Normal,512,11.0282
2025-06-03 12:26:22,192.168.1.22,9,Normal,512,11.0729
2025-06-03 12:26:26,192.168.1.8,9,Normal,512,13.0004
2025-06-03 12:26:26,192.168.1.5,9,Normal,512,13.0007
2025-06-03 12:26:26,192.168.1.12,9,Normal,512,13.001
2025-06-03 12:26:26,192.168.1.6,9,Normal,512,13.0014
2025-06-03 12:26:26,192.168.1.9,9,Normal,512,13.0022
2025-06-03 12:26:26,192.168.1.3,9,Normal,512,13.0025
2025-06-03 12:26:26,192.168.1.21,9,Normal,512,13.0031
2025-06-03 12:26:26,192.168.1.15,9,Normal,512,13.0042
2025-06-03 12:26:26,192.168.1.13,9,Normal,512,13.0045
2025-06-03 12:26:26,192.168.1.26,9,Normal,512,13.0049
2025-06-03 12:26:26,192.168.1.24,9,Normal,512,13.0057
2025-06-03 12:26:26,192.168.1.22,9,Normal,512,13.0072
2025-06-03 12:26:26,192.168.1.19,9,Normal,512,13.0081
2025-06-03 12:26:26,192.168.1.25,9,Normal,512,13.0111
2025-06-03 12:26:36,192.168.1.13,9,Normal,512,15.0012
2025-06-03 12:26:36,192.168.1.8,9,Normal,512,15.0014
