protocol,mean,std,min,max
AODV,0.680417175,0.2592672171863089,0.015277,1.268179
DSDV,0.5030418,0.32421114797329853,0.125139,1.612115
DSR,0.30015218407774424,0.3399178499067211,0.0,1.277781529411765
OLSR,0.340468275,0.436940024913705,0.018484,2.71863
