protocol,mean,std,min,max
AODV,15122.975,8126.728472517441,1230.0,29312.0
DSDV,5899.5,5052.723180470264,870.0,10929.0
DSR,139.575,182.944280083813,0.0,843.0
OLSR,5844.3,5059.12817157366,832.0,10890.0
