protocol,mean,std,min,max
AODV,0.194039725,0.18401257689903971,0.045039,0.86342
DSDV,5.5199938,6.103407881842015,0.5928,19.62675
DSR,9.52832,12.488996187054967,0.0,57.5488
OLSR,5.030899525000001,5.6239204948848895,0.224727,21.567484
