config,mean,std,min,max
int_no_mal,581.25,547.4203723853947,0.0,2166.0
mal_int,4698.925,3364.3619381156104,0.0,10411.0
mal_no_int,4506.525,3459.6760333547463,0.0,10065.0
no_mal_no_int,557.35,599.0815855572981,0.0,2396.0
