protocol,mean,std,min,max
AODV,29.134840824999998,12.903568348532792,10.744522,56.227096
DSDV,46.196307075,15.51085075922847,14.694849,78.115782
DSR,0.0,0.0,0.0,0.0
OLSR,51.0511702,12.451796557226958,9.49209,74.246877
