Configuración,Protocolo,Eficiencia
no_mal_no_int,AODV,1.8478431324156712
no_mal_no_int,OLSR,9.301034604084299
no_mal_no_int,DSDV,4.334297016846307
int_no_mal,AODV,4.315427076527556
int_no_mal,OLSR,6.298174599967894
int_no_mal,DSDV,14.184670624351394
mal_no_int,AODV,4.72347982668115
mal_no_int,OLSR,2.52902689913472
mal_no_int,DSDV,2.2145059311358413
mal_int,AODV,3.1808846005239513
mal_int,OLSR,4.462007781918927
mal_int,DSDV,2.4971433910294816
