Configuración,Protocolo,Métrica,Unidad,Media,Mediana,Std,Min,Max
int_no_mal,DSDV,throughput_promedio,Kbps,0.7686545,0.768,0.08389102648108437,0.610909,0.944727
int_no_mal,DSDV,delay_promedio,ms,0.34917539999999997,0.3334375,0.13124652231750752,0.09763,0.614229
int_no_mal,DSDV,jitter_promedio,ms,0.37168959999999995,0.369093,0.14280042538255971,0.125139,0.632771
int_no_mal,DSDV,perdida_paquetes,%,52.103049299999995,51.419557999999995,3.673194160078176,44.479495,58.569926
int_no_mal,DSDV,pdr,%,47.896950700000005,48.580442000000005,3.673194160078176,41.430074,55.520505
int_no_mal,DSDV,paquetes_totales,packets,951.0,951.0,0.0,951.0,951.0
int_no_mal,DSDV,paquetes_perdidos,packets,495.5,489.0,34.93207694941714,423.0,557.0
int_no_mal,DSDV,numero_flujos,flows,33.0,33.0,0.0,33.0,33.0
int_no_mal,DSDV,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
int_no_mal,DSR,throughput_promedio,Kbps,4.280320000000001,0.0,8.34161962066254,0.0,24.9856
int_no_mal,DSR,delay_promedio,ms,0.20394680142323426,0.0,0.5295991633805546,0.0,1.7855357142857142
int_no_mal,DSR,jitter_promedio,ms,0.055401292575781705,0.0,0.09600049919306601,0.0,0.2698772252747254
int_no_mal,DSR,perdida_paquetes,%,0.0,0.0,0.0,0.0,0.0
int_no_mal,DSR,pdr,%,30.0,0.0,45.8257569495584,0.0,100.0
int_no_mal,DSR,paquetes_totales,packets,62.7,0.0,122.1916936620489,0.0,366.0
int_no_mal,DSR,paquetes_perdidos,packets,0.0,0.0,0.0,0.0,0.0
int_no_mal,DSR,numero_flujos,flows,2.4,0.0,4.608687448721165,0.0,13.0
int_no_mal,DSR,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
mal_no_int,AODV,throughput_promedio,Kbps,0.26401050000000004,0.22481,0.13009779731129195,0.097116,0.521707
mal_no_int,AODV,delay_promedio,ms,1.2110687,1.257313,0.27885627467462526,0.645669,1.784906
mal_no_int,AODV,jitter_promedio,ms,0.7837720000000001,0.809169,0.19448589379643966,0.398516,1.208431
mal_no_int,AODV,perdida_paquetes,%,39.361429099999995,39.083778499999994,8.33314220538472,25.885827,56.227096
mal_no_int,AODV,pdr,%,60.63857089999999,60.916221500000006,8.333142205384718,43.772904,74.114173
mal_no_int,AODV,paquetes_totales,packets,22353.8,21547.5,3593.244711956034,17191.0,29312.0
mal_no_int,AODV,paquetes_perdidos,packets,8589.6,8881.0,1217.4971211464938,6312.0,10065.0
mal_no_int,AODV,numero_flujos,flows,867.9,858.5,33.275967303746405,816.0,919.0
mal_no_int,AODV,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
mal_no_int,OLSR,throughput_promedio,Kbps,10.5999314,9.338625,5.971665826962929,2.227355,21.567484
mal_no_int,OLSR,delay_promedio,ms,0.5716809,0.541407,0.262535078786988,0.118164,1.09427
mal_no_int,OLSR,jitter_promedio,ms,0.3564748,0.346235,0.1761011304437311,0.080592,0.705341
mal_no_int,OLSR,perdida_paquetes,%,46.6678759,53.0562235,18.45289819415006,9.49209,71.74295
mal_no_int,OLSR,pdr,%,53.3321241,46.9437765,18.45289819415006,28.25705,90.50791
mal_no_int,OLSR,paquetes_totales,packets,10812.4,10813.0,1.8000000000000003,10809.0,10815.0
mal_no_int,OLSR,paquetes_perdidos,packets,5046.2,5737.5,1995.6929022271938,1026.0,7759.0
mal_no_int,OLSR,numero_flujos,flows,31.1,31.0,0.3,31.0,32.0
mal_no_int,OLSR,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
mal_no_int,DSDV,throughput_promedio,Kbps,11.868075000000001,13.0545,5.987192168548209,0.61425,19.62675
mal_no_int,DSDV,delay_promedio,ms,1.1069098,1.2029385000000001,0.5764643027329271,0.185127,2.08444
mal_no_int,DSDV,jitter_promedio,ms,0.5915535999999999,0.5087235,0.3815743235838072,0.132897,1.488895
mal_no_int,DSDV,perdida_paquetes,%,40.471054699999996,41.316372,18.275432967227143,18.187684,78.115782
mal_no_int,DSDV,pdr,%,59.5289453,58.683628,18.275432967227147,21.884218,81.812316
mal_no_int,DSDV,paquetes_totales,packets,10848.0,10848.0,0.0,10848.0,10848.0
mal_no_int,DSDV,paquetes_perdidos,packets,4390.3,4482.0,1982.518955773185,1973.0,8474.0
mal_no_int,DSDV,numero_flujos,flows,32.0,32.0,0.0,32.0,32.0
mal_no_int,DSDV,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
mal_no_int,DSR,throughput_promedio,Kbps,11.680426666666667,11.468800000000002,3.8475338007265556,5.9392,17.476266666666668
mal_no_int,DSR,delay_promedio,ms,0.362567840682425,0.3319876198673122,0.1342714115632515,0.2193475686274509,0.638792558139535
mal_no_int,DSR,jitter_promedio,ms,0.6746774129488466,0.6450435293263649,0.239367303130378,0.405378897637796,1.277781529411765
mal_no_int,DSR,perdida_paquetes,%,0.0,0.0,0.0,0.0,0.0
mal_no_int,DSR,pdr,%,100.0,100.0,0.0,100.0,100.0
mal_no_int,DSR,paquetes_totales,packets,171.1,168.0,56.360358409080405,87.0,256.0
mal_no_int,DSR,paquetes_perdidos,packets,0.0,0.0,0.0,0.0,0.0
mal_no_int,DSR,numero_flujos,flows,6.0,6.0,1.9493588689617927,3.0,9.0
mal_no_int,DSR,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
mal_int,AODV,throughput_promedio,Kbps,0.3522278,0.2975275,0.24107940185333132,0.090686,0.86342
