config,mean,std,min,max
int_no_mal,209.875,330.43663324417236,0.0,846.0
mal_int,240.8,374.98069693908656,4.0,925.0
mal_no_int,234.25,371.03339748772225,3.0,919.0
no_mal_no_int,183.25,307.8846562244724,0.0,856.0
