config,mean,std,min,max
int_no_mal,2423.125,3471.9824174455835,0.0,12386.0
mal_int,11113.875,7991.599840433415,116.0,26819.0
mal_no_int,11046.325,8151.421941041783,87.0,29312.0
no_mal_no_int,2423.025,4034.055454454659,0.0,15293.0
