protocol,config,impact
AODV,mal_no_int,224.4950860615238
AODV,int_no_mal,-3.44172349201825
AODV,mal_int,332.92289615095297
OLSR,mal_no_int,1310.445185953099
OLSR,int_no_mal,-0.7779054726824823
OLSR,mal_int,968.0134509439335
DSDV,mal_no_int,1042.03954965358
DSDV,int_no_mal,-26.03401655119322
DSDV,mal_int,708.7033968437261
