protocol,mean,std,min,max
AODV,799.225,142.53573326155885,169.0,925.0
DSDV,32.5,1.825741858350555,30.0,35.0
DSR,5.225,7.2447593791332,0.0,33.0
OLSR,31.225,2.235924635214471,29.0,35.0
