timestamp,source_ip,port,traffic_type,packet_size,sim_time
2025-06-03 09:26:29,192.168.1.32,10,Normal,512,10.0571
2025-06-03 09:26:29,192.168.1.32,10,Normal,512,10.0601
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.6678
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.6696
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.6713
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.6836
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.699
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.7286
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.7289
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.732
2025-06-03 09:27:06,192.168.1.32,10,Normal,512,29.7326
2025-06-03 09:27:07,192.168.1.32,10,Normal,512,29.8195
2025-06-03 09:27:07,192.168.1.32,10,Normal,512,29.8203
2025-06-03 09:27:07,192.168.1.32,10,Normal,512,29.8214
2025-06-03 09:27:07,192.168.1.32,10,Normal,512,29.8223
2025-06-03 09:27:07,192.168.1.32,10,Normal,512,29.8258
2025-06-03 09:27:07,192.168.1.32,10,Normal,512,29.8297
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9109
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9134
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9151
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9159
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9177
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9184
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9205
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9212
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9217
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.922
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9223
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9305
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9414
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9521
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9605
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9705
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9805
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,29.9905
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,30.0005
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,30.012
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,30.0205
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,30.0305
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,30.0405
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,30.0505
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,30.0605
2025-06-03 09:27:08,192.168.1.32,10,Normal,512,30.0705
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5716
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5724
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5764
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5774
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5785
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5807
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5809
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5821
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5824
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5834
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5837
2025-06-03 09:27:11,192.168.1.32,10,Normal,512,30.5845
