timestamp,source_ip,port,traffic_type,packet_size,sim_time
2025-06-03 10:02:26,192.168.1.14,9,Normal,512,3.00683
2025-06-03 10:02:26,192.168.1.6,9,Normal,512,3.02259
2025-06-03 10:02:26,192.168.1.4,9,Normal,512,3.02905
2025-06-03 10:02:26,192.168.1.13,9,Normal,512,3.03548
2025-06-03 10:02:26,192.168.1.9,9,Normal,512,3.04179
2025-06-03 10:02:26,192.168.1.2,9,Normal,512,3.04804
2025-06-03 10:02:26,192.168.1.15,9,Normal,512,3.0545
2025-06-03 10:02:26,192.168.1.7,9,Normal,512,3.06103
2025-06-03 10:02:26,192.168.1.3,9,Normal,512,3.06728
2025-06-03 10:02:26,192.168.1.18,9,Normal,512,3.07365
2025-06-03 10:02:26,192.168.1.8,9,Normal,512,3.07992
2025-06-03 10:02:26,192.168.1.13,9,Normal,512,5.00106
2025-06-03 10:02:26,192.168.1.4,9,Normal,512,5.00229
2025-06-03 10:02:26,192.168.1.6,9,Normal,512,5.00262
2025-06-03 10:02:26,192.168.1.8,9,Normal,512,5.00304
2025-06-03 10:02:26,192.168.1.14,9,Normal,512,5.00331
2025-06-03 10:02:26,192.168.1.15,9,Normal,512,5.00373
2025-06-03 10:02:26,192.168.1.9,9,Normal,512,5.004
2025-06-03 10:02:26,192.168.1.2,9,Normal,512,5.00494
2025-06-03 10:02:26,192.168.1.7,9,Normal,512,5.00525
2025-06-03 10:02:26,192.168.1.3,9,Normal,512,5.00556
2025-06-03 10:02:26,192.168.1.18,9,Normal,512,5.00618
2025-06-03 10:02:26,192.168.1.20,9,Normal,512,5.01374
2025-06-03 10:02:26,192.168.1.9,9,Normal,512,7.00116
2025-06-03 10:02:26,192.168.1.6,9,Normal,512,7.00139
2025-06-03 10:02:26,192.168.1.3,9,Normal,512,7.00162
2025-06-03 10:02:26,192.168.1.7,9,Normal,512,7.00195
2025-06-03 10:02:26,192.168.1.18,9,Normal,512,7.00226
2025-06-03 10:02:26,192.168.1.15,9,Normal,512,7.00276
2025-06-03 10:02:26,192.168.1.8,9,Normal,512,7.00298
2025-06-03 10:02:26,192.168.1.13,9,Normal,512,7.00332
2025-06-03 10:02:26,192.168.1.2,9,Normal,512,7.00392
2025-06-03 10:02:26,192.168.1.4,9,Normal,512,7.00424
2025-06-03 10:02:26,192.168.1.14,9,Normal,512,7.00459
2025-06-03 10:02:26,192.168.1.24,9,Normal,512,8.01362
2025-06-03 10:02:27,192.168.1.6,9,Normal,512,9.0004
2025-06-03 10:02:27,192.168.1.15,9,Normal,512,9.00077
2025-06-03 10:02:27,192.168.1.4,9,Normal,512,9.00117
2025-06-03 10:02:27,192.168.1.7,9,Normal,512,9.00148
2025-06-03 10:02:27,192.168.1.18,9,Normal,512,9.00178
2025-06-03 10:02:27,192.168.1.14,9,Normal,512,9.00211
2025-06-03 10:02:27,192.168.1.3,9,Normal,512,9.00279
2025-06-03 10:02:27,192.168.1.2,9,Normal,512,9.00306
2025-06-03 10:02:27,192.168.1.9,9,Normal,512,9.00333
2025-06-03 10:02:27,192.168.1.8,9,Normal,512,9.00436
2025-06-03 10:02:27,192.168.1.13,9,Normal,512,9.00469
2025-06-03 10:02:29,192.168.1.7,9,Normal,512,11.0005
2025-06-03 10:02:29,192.168.1.2,9,Normal,512,11.0008
2025-06-03 10:02:29,192.168.1.6,9,Normal,512,11.0014
2025-06-03 10:02:29,192.168.1.14,9,Normal,512,11.0021
2025-06-03 10:02:29,192.168.1.4,9,Normal,512,11.0024
2025-06-03 10:02:29,192.168.1.3,9,Normal,512,11.0029
2025-06-03 10:02:29,192.168.1.8,9,Normal,512,11.0032
2025-06-03 10:02:29,192.168.1.9,9,Normal,512,11.0038
2025-06-03 10:02:29,192.168.1.18,9,Normal,512,11.0045
2025-06-03 10:02:29,192.168.1.15,9,Normal,512,11.0051
2025-06-03 10:02:29,192.168.1.13,9,Normal,512,11.007
2025-06-03 10:02:29,192.168.1.28,9,Normal,512,11.0206
2025-06-03 10:02:33,192.168.1.7,9,Normal,512,13.0009
2025-06-03 10:02:33,192.168.1.2,9,Normal,512,13.0012
2025-06-03 10:02:33,192.168.1.6,9,Normal,512,13.0015
2025-06-03 10:02:33,192.168.1.8,9,Normal,512,13.0021
2025-06-03 10:02:33,192.168.1.14,9,Normal,512,13.0025
2025-06-03 10:02:33,192.168.1.9,9,Normal,512,13.0029
2025-06-03 10:02:33,192.168.1.4,9,Normal,512,13.0033
2025-06-03 10:02:33,192.168.1.18,9,Normal,512,13.0035
2025-06-03 10:02:33,192.168.1.13,9,Normal,512,13.0038
2025-06-03 10:02:33,192.168.1.3,9,Normal,512,13.0048
2025-06-03 10:02:33,192.168.1.15,9,Normal,512,13.0121
2025-06-03 10:02:33,192.168.1.28,9,Normal,512,13.0141
2025-06-03 10:02:37,192.168.1.8,9,Normal,512,15.0009
2025-06-03 10:02:37,192.168.1.18,9,Normal,512,15.0012
2025-06-03 10:02:37,192.168.1.14,9,Normal,512,15.0019
2025-06-03 10:02:37,192.168.1.2,9,Normal,512,15.0025
2025-06-03 10:02:37,192.168.1.6,9,Normal,512,15.0028
2025-06-03 10:02:38,192.168.1.7,9,Normal,512,15.003
2025-06-03 10:02:38,192.168.1.4,9,Normal,512,15.0037
2025-06-03 10:02:38,192.168.1.9,9,Normal,512,15.0041
2025-06-03 10:02:38,192.168.1.13,9,Normal,512,15.005
2025-06-03 10:02:38,192.168.1.28,9,Normal,512,15.007
2025-06-03 10:02:38,192.168.1.15,9,Normal,512,15.0078
2025-06-03 10:02:38,192.168.1.3,9,Normal,512,15.0082
2025-06-03 10:02:42,192.168.1.6,9,Normal,512,17.0004
2025-06-03 10:02:42,192.168.1.13,9,Normal,512,17.0007
2025-06-03 10:02:42,192.168.1.7,9,Normal,512,17.0009
2025-06-03 10:02:42,192.168.1.2,9,Normal,512,17.0017
2025-06-03 10:02:42,192.168.1.4,9,Normal,512,17.002
2025-06-03 10:02:42,192.168.1.9,9,Normal,512,17.0026
2025-06-03 10:02:42,192.168.1.18,9,Normal,512,17.0028
2025-06-03 10:02:42,192.168.1.3,9,Normal,512,17.0039
2025-06-03 10:02:42,192.168.1.15,9,Normal,512,17.0064
2025-06-03 10:02:42,192.168.1.14,9,Normal,512,17.0067
2025-06-03 10:02:42,192.168.1.8,9,Normal,512,17.0072
2025-06-03 10:02:47,192.168.1.15,9,Normal,512,19.0011
2025-06-03 10:02:47,192.168.1.7,9,Normal,512,19.0018
2025-06-03 10:02:47,192.168.1.3,9,Normal,512,19.0022
2025-06-03 10:02:47,192.168.1.18,9,Normal,512,19.0027
2025-06-03 10:02:47,192.168.1.9,9,Normal,512,19.0034
2025-06-03 10:02:47,192.168.1.14,9,Normal,512,19.004
2025-06-03 10:02:47,192.168.1.2,9,Normal,512,19.0044
2025-06-03 10:02:47,192.168.1.8,9,Normal,512,19.0047
2025-06-03 10:02:47,192.168.1.6,9,Normal,512,19.005
2025-06-03 10:02:47,192.168.1.4,9,Normal,512,19.0053
2025-06-03 10:02:47,192.168.1.13,9,Normal,512,19.0064
2025-06-03 10:02:47,192.168.1.24,9,Normal,512,19.0076
2025-06-03 10:02:52,192.168.1.3,9,Normal,512,21.0005
2025-06-03 10:02:52,192.168.1.7,9,Normal,512,21.0009
2025-06-03 10:02:52,192.168.1.6,9,Normal,512,21.0014
2025-06-03 10:02:52,192.168.1.13,9,Normal,512,21.0017
2025-06-03 10:02:52,192.168.1.4,9,Normal,512,21.002
2025-06-03 10:02:52,192.168.1.9,9,Normal,512,21.0032
2025-06-03 10:02:52,192.168.1.2,9,Normal,512,21.0036
2025-06-03 10:02:52,192.168.1.8,9,Normal,512,21.0053
2025-06-03 10:02:52,192.168.1.15,9,Normal,512,21.0057
2025-06-03 10:02:52,192.168.1.18,9,Normal,512,21.006
2025-06-03 10:02:52,192.168.1.14,9,Normal,512,21.0105
2025-06-03 10:02:56,192.168.1.18,9,Normal,512,23.0005
2025-06-03 10:02:56,192.168.1.6,9,Normal,512,23.0011
2025-06-03 10:02:56,192.168.1.8,9,Normal,512,23.0015
2025-06-03 10:02:56,192.168.1.4,9,Normal,512,23.0022
2025-06-03 10:02:56,192.168.1.2,9,Normal,512,23.0025
2025-06-03 10:02:56,192.168.1.7,9,Normal,512,23.0031
2025-06-03 10:02:56,192.168.1.3,9,Normal,512,23.0051
2025-06-03 10:02:56,192.168.1.9,9,Normal,512,23.0059
2025-06-03 10:02:56,192.168.1.15,9,Normal,512,23.012
2025-06-03 10:02:56,192.168.1.14,9,Normal,512,23.0298
2025-06-03 10:02:56,192.168.1.13,9,Normal,512,23.03
2025-06-03 10:02:56,192.168.1.24,9,Normal,512,23.0378
2025-06-03 10:03:01,192.168.1.18,9,Normal,512,25.0007
2025-06-03 10:03:01,192.168.1.3,9,Normal,512,25.0011
2025-06-03 10:03:01,192.168.1.14,9,Normal,512,25.0014
2025-06-03 10:03:01,192.168.1.2,9,Normal,512,25.002
2025-06-03 10:03:01,192.168.1.4,9,Normal,512,25.0023
2025-06-03 10:03:01,192.168.1.13,9,Normal,512,25.0027
2025-06-03 10:03:01,192.168.1.9,9,Normal,512,25.0033
2025-06-03 10:03:01,192.168.1.6,9,Normal,512,25.0035
2025-06-03 10:03:01,192.168.1.15,9,Normal,512,25.0042
2025-06-03 10:03:01,192.168.1.7,9,Normal,512,25.0045
2025-06-03 10:03:01,192.168.1.8,9,Normal,512,25.0059
2025-06-03 10:03:01,192.168.1.24,9,Normal,512,25.0122
2025-06-03 10:03:05,192.168.1.14,9,Normal,512,27.0006
2025-06-03 10:03:05,192.168.1.4,9,Normal,512,27.0011
2025-06-03 10:03:05,192.168.1.2,9,Normal,512,27.0014
2025-06-03 10:03:05,192.168.1.3,9,Normal,512,27.0016
2025-06-03 10:03:05,192.168.1.6,9,Normal,512,27.002
2025-06-03 10:03:05,192.168.1.7,9,Normal,512,27.0024
2025-06-03 10:03:05,192.168.1.8,9,Normal,512,27.0026
2025-06-03 10:03:05,192.168.1.15,9,Normal,512,27.003
2025-06-03 10:03:05,192.168.1.13,9,Normal,512,27.0037
2025-06-03 10:03:05,192.168.1.9,9,Normal,512,27.0047
2025-06-03 10:03:05,192.168.1.18,9,Normal,512,27.0057
2025-06-03 10:03:05,192.168.1.24,9,Normal,512,27.0083
2025-06-03 10:03:09,192.168.1.13,9,Normal,512,29.0006
2025-06-03 10:03:09,192.168.1.7,9,Normal,512,29.001
2025-06-03 10:03:09,192.168.1.6,9,Normal,512,29.0012
2025-06-03 10:03:09,192.168.1.8,9,Normal,512,29.0016
2025-06-03 10:03:09,192.168.1.2,9,Normal,512,29.0019
2025-06-03 10:03:09,192.168.1.3,9,Normal,512,29.0021
2025-06-03 10:03:09,192.168.1.14,9,Normal,512,29.0024
2025-06-03 10:03:09,192.168.1.18,9,Normal,512,29.0027
2025-06-03 10:03:09,192.168.1.15,9,Normal,512,29.0035
2025-06-03 10:03:09,192.168.1.9,9,Normal,512,29.0037
2025-06-03 10:03:09,192.168.1.4,9,Normal,512,29.004
2025-06-03 10:03:09,192.168.1.24,9,Normal,512,29.0062
2025-06-03 10:03:14,192.168.1.3,9,Normal,512,31.0004
2025-06-03 10:03:14,192.168.1.4,9,Normal,512,31.001
2025-06-03 10:03:14,192.168.1.8,9,Normal,512,31.0012
2025-06-03 10:03:14,192.168.1.2,9,Normal,512,31.0014
2025-06-03 10:03:14,192.168.1.7,9,Normal,512,31.0018
2025-06-03 10:03:14,192.168.1.6,9,Normal,512,31.002
2025-06-03 10:03:14,192.168.1.9,9,Normal,512,31.0039
2025-06-03 10:03:14,192.168.1.20,9,Normal,512,31.0132
2025-06-03 10:03:14,192.168.1.13,9,Normal,512,31.0134
2025-06-03 10:03:14,192.168.1.14,9,Normal,512,31.0137
2025-06-03 10:03:14,192.168.1.15,9,Normal,512,31.0208
2025-06-03 10:03:14,192.168.1.18,9,Normal,512,31.0212
2025-06-03 10:03:14,192.168.1.27,9,Normal,512,31.0274
