timestamp,node_id,protocol,destination,next_hop,metric
1,0,DSDV,0.0.0.0,0.0.0.0,0
1,1,DSDV,0.0.0.0,0.0.0.0,0
1,2,DSDV,0.0.0.0,0.0.0.0,0
1,3,DSDV,0.0.0.0,0.0.0.0,0
1,4,DSDV,0.0.0.0,0.0.0.0,0
1,5,DSDV,0.0.0.0,0.0.0.0,0
1,6,DSDV,0.0.0.0,0.0.0.0,0
1,7,DSDV,0.0.0.0,0.0.0.0,0
1,8,DSDV,0.0.0.0,0.0.0.0,0
1,9,DSDV,0.0.0.0,0.0.0.0,0
1,10,DSDV,0.0.0.0,0.0.0.0,0
1,11,DSDV,0.0.0.0,0.0.0.0,0
1,12,DSDV,0.0.0.0,0.0.0.0,0
1,13,DSDV,0.0.0.0,0.0.0.0,0
1,14,DSDV,0.0.0.0,0.0.0.0,0
1,15,DSDV,0.0.0.0,0.0.0.0,0
1,16,DSDV,0.0.0.0,0.0.0.0,0
1,17,DSDV,0.0.0.0,0.0.0.0,0
1,18,DSDV,0.0.0.0,0.0.0.0,0
1,19,DSDV,0.0.0.0,0.0.0.0,0
1,20,DSDV,0.0.0.0,0.0.0.0,0
1,21,DSDV,0.0.0.0,0.0.0.0,0
1,22,DSDV,0.0.0.0,0.0.0.0,0
1,23,DSDV,0.0.0.0,0.0.0.0,0
1,24,DSDV,0.0.0.0,0.0.0.0,0
1,25,DSDV,0.0.0.0,0.0.0.0,0
1,26,DSDV,0.0.0.0,0.0.0.0,0
1,27,DSDV,0.0.0.0,0.0.0.0,0
1,28,DSDV,0.0.0.0,0.0.0.0,0
1,29,DSDV,0.0.0.0,0.0.0.0,0
1,30,DSDV,0.0.0.0,0.0.0.0,0
1,31,DSDV,0.0.0.0,0.0.0.0,0
1,32,DSDV,0.0.0.0,0.0.0.0,0
1,33,DSDV,0.0.0.0,0.0.0.0,0
1,34,DSDV,0.0.0.0,0.0.0.0,0
2,0,DSDV,0.0.0.0,0.0.0.0,0
2,1,DSDV,0.0.0.0,0.0.0.0,0
2,2,DSDV,0.0.0.0,0.0.0.0,0
2,3,DSDV,0.0.0.0,0.0.0.0,0
2,4,DSDV,0.0.0.0,0.0.0.0,0
2,5,DSDV,0.0.0.0,0.0.0.0,0
2,6,DSDV,0.0.0.0,0.0.0.0,0
2,7,DSDV,0.0.0.0,0.0.0.0,0
2,8,DSDV,0.0.0.0,0.0.0.0,0
