timestamp,node_id,protocol,destination,next_hop,metric
4,12,OLSR,0.0.0.0,0.0.0.0,0
4,13,OLSR,0.0.0.0,0.0.0.0,0
4,14,OLSR,0.0.0.0,0.0.0.0,0
4,15,OLSR,0.0.0.0,0.0.0.0,0
4,16,OLSR,0.0.0.0,0.0.0.0,0
4,17,OLSR,0.0.0.0,0.0.0.0,0
4,18,OLSR,0.0.0.0,0.0.0.0,0
4,19,OLSR,0.0.0.0,0.0.0.0,0
4,20,OLSR,0.0.0.0,0.0.0.0,0
4,21,OLSR,0.0.0.0,0.0.0.0,0
4,22,OLSR,0.0.0.0,0.0.0.0,0
4,23,OLSR,0.0.0.0,0.0.0.0,0
4,24,OLSR,0.0.0.0,0.0.0.0,0
4,25,OLSR,0.0.0.0,0.0.0.0,0
4,26,OLSR,0.0.0.0,0.0.0.0,0
4,27,OLSR,0.0.0.0,0.0.0.0,0
4,28,OLSR,0.0.0.0,0.0.0.0,0
4,29,OLSR,0.0.0.0,0.0.0.0,0
4,30,OLSR,0.0.0.0,0.0.0.0,0
4,31,OLSR,0.0.0.0,0.0.0.0,0
4,32,OLSR,0.0.0.0,0.0.0.0,0
4,33,OLSR,0.0.0.0,0.0.0.0,0
4,34,OLSR,0.0.0.0,0.0.0.0,0
5,0,OLSR,0.0.0.0,0.0.0.0,0
5,1,OLSR,0.0.0.0,0.0.0.0,0
5,2,OLSR,0.0.0.0,0.0.0.0,0
5,3,OLSR,0.0.0.0,0.0.0.0,0
5,4,OLSR,0.0.0.0,0.0.0.0,0
5,5,OLSR,0.0.0.0,0.0.0.0,0
5,6,OLSR,0.0.0.0,0.0.0.0,0
5,7,OLSR,0.0.0.0,0.0.0.0,0
5,8,OLSR,0.0.0.0,0.0.0.0,0
5,9,OLSR,0.0.0.0,0.0.0.0,0
5,10,OLSR,0.0.0.0,0.0.0.0,0
5,11,OLSR,0.0.0.0,0.0.0.0,0
5,12,OLSR,0.0.0.0,0.0.0.0,0
5,13,OLSR,0.0.0.0,0.0.0.0,0
5,14,OLSR,0.0.0.0,0.0.0.0,0
5,15,OLSR,0.0.0.0,0.0.0.0,0
5,16,OLSR,0.0.0.0,0.0.0.0,0
5,17,OLSR,0.0.0.0,0.0.0.0,0
5,18,OLSR,0.0.0.0,0.0.0.0,0
5,19,OLSR,0.0.0.0,0.0.0.0,0
5,20,OLSR,0.0.0.0,0.0.0.0,0
5,21,OLSR,0.0.0.0,0.0.0.0,0
