time,node_id,x,y,z
1,20,78.6781,74.0279,0
1,21,63.236,0.93471,0
1,22,7.73079,23.4654,0
1,23,0.362353,39.6153,0
1,24,88.386,50.9561,0
1,25,36.0448,67.4113,0
1,26,53.7088,35.3156,0
1,27,69.3503,77.7247,0
1,28,60.7118,62.6678,0
1,29,31.8328,80.3756,0
2,20,79.0824,74.9425,0
2,21,62.3315,0.508272,0
2,22,7.6289,24.4602,0
2,23,1.12855,40.2579,0
2,24,89.2987,51.3647,0
2,25,37.0014,67.1196,0
2,26,54.6554,35.6379,0
2,27,68.3593,77.8587,0
2,28,61.1838,61.7861,0
2,29,31.5848,79.4069,0
3,20,78.3596,74.2514,0
3,21,61.376,0.80325,0
3,22,7.65372,25.4599,0
3,23,0.196629,39.8952,0
3,24,90.162,50.8601,0
3,25,37.5313,66.2716,0
3,26,54.7339,34.641,0
3,27,69.2879,77.4877,0
3,28,61.0431,62.7762,0
3,29,30.5963,79.5576,0
4,20,77.6369,73.5603,0
4,21,60.4205,1.09823,0
4,22,7.67854,26.4595,0
4,23,0.73529,39.5325,0
4,24,91.0254,50.3555,0
4,25,38.0613,65.4236,0
4,26,54.8124,33.6441,0
4,27,70.2165,77.1167,0
4,28,60.9025,63.7662,0
4,29,29.6077,79.7083,0
5,20,77.2276,72.6479,0
5,21,61.2928,1.58712,0
5,22,7.00141,27.1954,0
5,23,1.01891,38.5736,0
5,24,92.0066,50.5483,0
5,25,38.484,64.5173,0
5,26,54.9857,34.629,0
5,27,71.1528,77.4681,0
5,28,61.3125,64.6783,0
5,29,29.5042,78.7137,0
6,20,76.8183,71.7355,0
6,21,62.1652,2.07601,0
6,22,6.32428,27.9313,0
6,23,1.30254,37.6147,0
6,24,92.9878,50.7411,0
6,25,38.9066,63.611,0
6,26,55.159,35.6139,0
6,27,72.089,77.8195,0
6,28,61.7225,65.5904,0
6,29,29.4008,77.7191,0
7,20,77.6186,72.3351,0
7,21,61.1904,1.85268,0
7,22,7.13792,28.5126,0
7,23,0.406068,37.1716,0
7,24,93.9173,50.3721,0
7,25,38.1745,62.9299,0
7,26,54.3812,36.2425,0
7,27,72.8706,77.1956,0
7,28,61.8408,64.5974,0
7,29,30.1328,77.0377,0
8,20,78.419,72.9346,0
8,21,60.2157,1.62935,0
8,22,7.95155,29.094,0
8,23,0.490404,36.7285,0
8,24,94.8467,50.0032,0
8,25,37.4424,62.2487,0
8,26,53.6035,36.8711,0
8,27,73.6522,76.5718,0
8,28,61.9591,63.6044,0
8,29,30.8648,76.3564,0
9,20,78.4815,71.9365,0
9,21,60.8679,0.871325,0
9,22,8.88467,29.4536,0
9,23,0.278026,37.7057,0
9,24,95.403,49.1722,0
9,25,37.2834,63.236,0
9,26,54.3938,36.2584,0
9,27,73.719,75.5741,0
9,28,62.6185,62.8526,0
9,29,31.2234,75.423,0
10,20,78.544,70.9385,0
10,21,61.5202,0.113303,0
10,22,9.81779,29.8131,0
10,23,0.0656492,38.6828,0
10,24,95.9593,48.3412,0
10,25,37.1245,64.2233,0
10,26,55.1842,35.6457,0
10,27,73.7858,74.5763,0
10,28,63.2779,62.1008,0
10,29,31.582,74.4895,0
11,20,78.2874,69.972,0
11,21,60.6033,0.285888,0
11,22,10.7557,29.4663,0
11,23,0.31446,39.6514,0
11,24,95.57,49.2623,0
11,25,37.0194,65.2178,0
11,26,54.2847,35.2089,0
11,27,72.7975,74.729,0
