node_id,throughput_avg,delay_avg,jitter_avg,energy_consumed
0,428.696,0.621671,0.435262,0
1,428.696,0.621671,0.435262,0
2,428.696,0.621671,0.435262,0
3,428.696,0.621671,0.435262,0
4,428.696,0.621671,0.435262,0
5,428.696,0.621671,0.435262,0
6,428.696,0.621671,0.435262,0
7,428.696,0.621671,0.435262,0
8,428.696,0.621671,0.435262,0
9,428.696,0.621671,0.435262,0
10,428.696,0.621671,0.435262,0
11,428.696,0.621671,0.435262,0
12,428.696,0.621671,0.435262,0
13,428.696,0.621671,0.435262,0
14,428.696,0.621671,0.435262,0
15,428.696,0.621671,0.435262,0
16,428.696,0.621671,0.435262,0
17,428.696,0.621671,0.435262,0
18,428.696,0.621671,0.435262,0
19,428.696,0.621671,0.435262,0
20,428.696,0.621671,0.435262,0
21,428.696,0.621671,0.435262,0
22,428.696,0.621671,0.435262,0
23,428.696,0.621671,0.435262,0
24,428.696,0.621671,0.435262,0
25,428.696,0.621671,0.435262,0
26,428.696,0.621671,0.435262,0
27,428.696,0.621671,0.435262,0
28,428.696,0.621671,0.435262,0
29,428.696,0.621671,0.435262,0
30,428.696,0.621671,0.435262,0
31,428.696,0.621671,0.435262,0
32,428.696,0.621671,0.435262,0
33,428.696,0.621671,0.435262,0
34,428.696,0.621671,0.435262,0
